sample id,experiment,"time point, d",injection method,tissue,genotype,eartag (in vivo) / passage (in vitro),initial number of cells,"lung weight, g (in vivo) / cells (in vitro)",spike-in added,notes
LA67_4,1,22,intravenous,pancreas,C57B6/129S F1,SK1868,200000,,FALSE,none
LA67_5,1,22,intravenous,pancreas,C57B6/129S F1,SK1869,200000,,FALSE,none
LA67_6,1,22,intravenous,pancreas,C57B6/129S F1,SK1870,200000,,FALSE,none
LA67_7,1,22,intravenous,pancreas,C57B6/129S F1,SK1871,200000,,FALSE,none
LA67_8,1,22,intravenous,pancreas,C57B6/129S F1,SK1872,200000,,FALSE,none
LA67_9,1,22,intravenous,pancreas,C57B6/129S F1,SK1873,200000,,FALSE,none
LA67_10,1,22,intravenous,pancreas,C57B6/129S F1,SK1874,200000,,FALSE,none
LA67_11,1,22,intravenous,pancreas,C57B6/129S F1,SK1875,200000,,FALSE,none
LA67_12,1,22,intravenous,pancreas,C57B6/129S F1,SK1876,200000,,FALSE,none
LA67_13,1,22,intravenous,pancreas,C57B6/129S F1,SK1877,200000,,FALSE,none
LA67_14,1,22,intravenous,pancreas,C57B6/129S F1,SK1878,200000,,FALSE,none
LA67_15,1,22,intravenous,pancreas,C57B6/129S F1,SK1879,200000,,FALSE,none
LA67_16,1,22,intravenous,pancreas,C57B6/129S F1,SK1880,200000,,FALSE,none
LA67_17,1,22,intravenous,pancreas,C57B6/129S F1,SK1881,200000,,FALSE,none
LA67_18,1,22,intravenous,pancreas,C57B6/129S F1,SK1883,200000,,FALSE,none
LA67_19,1,22,intravenous,pancreas,C57B6/129S F1,SK1884,200000,,FALSE,none
SK1_1,1,21,intravenous,lung,Rag1-/-,CM3633,200000,0.22,TRUE,none
SK1_2,1,21,intravenous,lung,Rag1-/-,SL44,200000,0.1842,TRUE,none
SK1_3,1,21,intravenous,lung,Rag1-/-,SL50,200000,0.182,TRUE,none
SK1_4,1,21,intravenous,lung,Rag1-/-,SL048,200000,0.461,TRUE,none
SK1_5,1,21,intravenous,lung,Rag1-/-,SL047,200000,0.256,TRUE,none
SK1_6,1,21,intravenous,lung,Rag1-/-,SL177,200000,0.287,TRUE,none
SK1_7,1,21,intravenous,lung,Rag1-/-,SL179,200000,0.437,TRUE,none
SK1_9,1,21,intravenous,lung,Rag1-/-,CM3635,200000,0.181,TRUE,none
SK1_10,1,21,intravenous,lung,Rag1-/-,CM3638,200000,0.222,TRUE,none
SK1_12,1,21,intravenous,lung,Rag1-/-,CM3681,200000,0.213,TRUE,none
SK1_13,1,21,intravenous,lung,Rag1-/-,SL046,200000,0.166,TRUE,none
SK1_14,1,21,intravenous,lung,Rag1-/-,SL051,200000,0.213,TRUE,none
SK1_15,1,21,intravenous,lung,Rag1-/-,CM3705,200000,0.232,TRUE,none
SK1_16,1,21,intravenous,lung,Rag1-/-,MT2362,200000,0.205,TRUE,none
SK1_17,1,21,intravenous,lung,Rag1-/-,MT2359,200000,0.189,TRUE,none
SK1_18,1,21,intravenous,lung,Rag1-/-,SL101,200000,0.162,TRUE,none
SK1_19,1,21,intravenous,lung,Rag1-/-,SL103,200000,0.17,TRUE,none
SK1_20,1,21,intravenous,lung,Rag1-/-,SL176,200000,0.171,TRUE,none
SK1_21,1,21,intravenous,lung,Rag1-/-,SL178,200000,0.285,TRUE,none
SK1_22,1,21,intravenous,lung,Rag1-/-,SL180,200000,0.158,TRUE,none
SK1_23,1,21,intravenous,lung,Rag1-/-,SL175,200000,0.215,TRUE,none
SK1_24,1,21,intravenous,lung,Rag1-/-,CM3725,200000,0.27,TRUE,none
SK1_111,1,22,intraperitoneal,peritoneal fat,C57B6/129S F1,SK1885,2000000,,TRUE,"SK111_2:SK1_111 merged, one spike-in"
SK111_2,1,22,intraperitoneal,peritoneal fat,C57B6/129S F1,SK1885,2000000,,TRUE,"SK111_2:SK1_111 merged, one spike-in"
SK1_112,1,22,intraperitoneal,peritoneal fat,C57B6/129S F1,SK1886,2000000,,TRUE,"SK112_2:SK1_112 merged, one spike-in"
SK112_2,1,22,intraperitoneal,peritoneal fat,C57B6/129S F1,SK1886,2000000,,TRUE,"SK112_2:SK1_112 merged, one spike-in"
